"Title","Link","Desc","Year","Runtime"
"100% Love","https://hoichoi.tv/films/title/100-love","Rahul, who hails from a middle-class family, falls in love with Anuradha. However, he soon learns that she is getting married to his friend.",NA,9240
"Aagaman","https://hoichoi.tv/films/title/aagaman","""Aagaman"" revolves around the love story of a simple village boy and a girl from a respectable family. Will they unite? ","1985",9205
"Aat Paake Badha","https://hoichoi.tv/films/title/aat-paake-badha","""Aaat Pake Bandha"" revolves around Indra, the most sorted guy in his team whereas, Priya is an epitome of grace. Watch the a sweet tale of love of Indra and Priya.","2011",7800
"Abby Sen","https://hoichoi.tv/movies/abby-sen-2015","A televison producer after losing his seventh job, gets a chance to time-travel to the 80s in the hope of an easy life. Watch the journey of ""Abby Sen"" uravel.","2019",7633
"Abhijan","https://hoichoi.tv/films/title/abhijan","A taxi driver, Narsingh, attempts to reinvent his life by visiting his native place. However, things take a drastic turn when he gets involved in Sukhanram's smuggling and human trafficking business.","1955",7725
"Abhoyer Biye","https://hoichoi.tv/films/title/abhoyer-biye","A Bengali film about a man named Abhoy who is ridiculed for his poverty and upbringing by the woman he is engaged to.","1958",7661
"Aborto","https://hoichoi.tv/films/title/aborto","""Aborto"" revolves around Shyamal, an ambitious man who dreams to become the vice president of an MNC. While he competes to earn his place, he distances himself from his wife Charu.","2013",6702
"Accident","https://hoichoi.tv/films/title/accident","Arko, a retired cricketer is devoted to taking care of his son while his wife earns for the family. However, life and situations go south on them when their son dies in an accident.","2015",7740
"ACP Ranveer","https://hoichoi.tv/films/title/acp-ranveer","""ACP Ranveer"" revolves around a brave police inspector who fights for justice. But what happens when his family is in trouble? ","2012",9401
"Adbhoot","https://hoichoi.tv/films/title/adbhoot","A once-wealthy joint family experiences strange occurrences in the 200 year old house they live in. What happens when they sense strange happenings in the house? ","2017",7369
"Adhikar","https://hoichoi.tv/films/title/adhikar","""Adhikar"", revolves around a woman seeking revenge when her husband is wrongly accused of murder. Will she succeed? ","2011",9119
